id,name,description,category,image,price,size
m-tops-001,着回し力抜群！シンプルデザインのホワイト長袖シャツ,どんなスタイルにも合わせやすい、シンプルなデザインのホワイト長袖シャツ。\n上質な素材を使用し、快適な着心地を実現しました。\nビジネスシーンはもちろん、カジュアルなコーディネートにもおすすめです。,メンズ > トップス,https://next-apparel.com/images/m-tops-001.png,8800,"S, M, L"
m-tops-002,爽やかリネンシャツ,清涼感のあるリネン素材で仕立てた、快適な着心地のシャツ。\nカジュアルにもキレイめにも合わせやすく、幅広いシーンで活躍します。\n通気性が良く、暑い季節でもさらりと着用いただけます。,メンズ > トップス,https://next-apparel.com/images/m-tops-002.png,8800,"S, M, L"
m-tops-003,爽やかストライプTシャツ,シンプルながらも存在感のあるストライプ柄が目を惹くTシャツ。\nカジュアルなコーディネートにぴったりです。\n一枚で着るのはもちろん、ジャケットやカーディガンのインナーとしても活躍します。\n着心地の良いコットン素材で、デイリーユースに最適です。,メンズ > トップス,https://next-apparel.com/images/m-tops-003.png,8800,"S, M, L"
m-tops-004,着回し力抜群のシンプルTシャツ,どんなコーディネートにも合わせやすい、シンプルな無地のTシャツです。\nベーシックなクルーネックデザインで、幅広いスタイルにマッチします。\n柔らかな肌触りで快適な着心地です。,メンズ > トップス,https://next-apparel.com/images/m-tops-004.png,8800,"S, M, L"
m-tops-005,都会派ストリート Tシャツ,都会のストリートを歩く女性をイメージしたクールなデザインのTシャツです。モノトーン調のイラストが、スタイリッシュで洗練された印象を与えます。カジュアルなコーディネートにも、モードなスタイルにも合わせやすいアイテムです。,メンズ > トップス,https://next-apparel.com/images/m-tops-005.png,8800,"S, M, L"
m-bottoms-001,ヴィンテージ風ストレートデニム,美しいシルエットが魅力のストレートデニム。\nヴィンテージ加工を施した、こなれ感のある一本です。\nどんなトップスにも合わせやすく、着回し力抜群です。,メンズ > ボトムス,https://next-apparel.com/images/m-bottoms-001.png,12800,"S, M, L"
m-bottoms-002,ヴィンテージ風ダメージデニムパンツ,トレンドライクなヴィンテージ風ダメージ加工を施したデニムパンツ。\n程よい色落ちとダメージ感が、こなれ感を演出してくれます。\nカジュアルスタイルにはもちろん、Tシャツと合わせて大人カジュアルな着こなしもおすすめです。,メンズ > ボトムス,https://next-apparel.com/images/m-bottoms-002.png,15800,"S, M, L"
m-bottoms-003,大人の休日を彩る、上質チノパン,上質なコットン素材を使用した、大人の休日にぴったりのチノパン。\nどんなトップスにも合わせやすく、カジュアルながらも上品な印象を与えてくれます。,メンズ > ボトムス,https://next-apparel.com/images/m-bottoms-003.png,12800,"S, M, L"
m-bottoms-004,大人の風格漂う、快適ストレッチショートパンツ,軽くて動きやすい、快適な履き心地のショートパンツ。ストレッチ素材を使用しているので、アクティブなシーンにも最適です。シンプルながらも上品なデザインで、幅広いコーディネートに活躍します。,メンズ > ボトムス,https://next-apparel.com/images/m-bottoms-004.png,5800,"S, M, L"
m-bottoms-005,快適な穿き心地！定番グレーのスウェットパンツ,どんなスタイルにも合わせやすい、定番グレーのスウェットパンツ。\n柔らかな素材で快適な穿き心地です。\nルームウェアとしてはもちろん、ワンマイルウェアとしてもおすすめです。,メンズ > ボトムス,https://next-apparel.com/images/m-bottoms-005.png,5800,"S, M, L"
m-bags-001,マットブラック多機能バックパック,都会的なマットブラックが洗練された印象を与えるバックパック。\n収納力抜群で、普段使いから通勤、通学、旅行まで幅広く活躍します。\nサイドポケットやフロントポケットなど、機能的なデザインも魅力です。\n撥水加工が施されているので、雨の日も安心してお使いいただけます。,メンズ > バッグ,https://next-apparel.com/images/m-bags-001.png,22800,フリー
m-bags-002,都会派のための万能バッグ,シンプルながらも洗練されたデザインが魅力の2WAYバッグ。\n都会的なライフスタイルにフィットする機能性も備えています。\n通勤、通学、お出かけなど、様々なシーンで活躍すること間違いなし。\n丈夫な素材を使用し、長く愛用いただけます。,メンズ > バッグ,https://next-apparel.com/images/m-bags-002.png,12800,フリー
m-bags-003,コンパクトなのに収納力抜群！シンプルデザインのショルダーバッグ,シンプルながらも機能的なデザインが魅力のショルダーバッグ。コンパクトなサイズ感ながら、必要な荷物をしっかり収納できます。\n\nメインコンパートメントに加え、内側には小物用のポケットも備えています。\n\n丈夫な素材を使用しており、長く愛用いただけます。\n\nカジュアルからきれいめまで、幅広いスタイルにマッチします。,メンズ > バッグ,https://next-apparel.com/images/m-bags-003.png,12800,フリー
m-bags-004,東京散歩 キャンバストート,東京の街並みを鮮やかに描いたキャンバストートバッグ。\nお出かけが楽しくなる、個性的なデザインです。\n丈夫なキャンバス生地で、普段使いにぴったり。\n通勤、通学、ショッピングなど、様々なシーンで活躍します。,メンズ > バッグ,https://next-apparel.com/images/m-bags-004.png,3800,フリー
m-bags-005,フレッシュフルーツ キャンバストートバッグ,フレッシュでカラフルなフルーツ柄が目を惹くキャンバストートバッグ。\n丈夫なキャンバス生地で、普段使いにぴったり。\nマチもたっぷりあるので、収納力も抜群です。\nお買い物やお出かけに、気分を明るくしてくれるアイテムです。,メンズ > バッグ,https://next-apparel.com/images/m-bags-005.png,3800,フリー
m-shoes-001,クリーンでミニマルなデザインが魅力のレザースニーカー,シンプルながらも洗練されたデザインが魅力のレザースニーカー。\n上質なレザーを使用し、快適な履き心地を実現。\nどんなコーディネートにも合わせやすく、幅広いシーンで活躍します。\n\n・上質なレザーアッパー\n・快適な履き心地\n・シンプルで洗練されたデザイン\n・様々なコーディネートにマッチ,メンズ > シューズ,https://next-apparel.com/images/m-shoes-001.png,12800,"25.0, 25.5, 26.0, 26.5, 27.0, 27.5"
m-shoes-002,迷彩柄キャンバススニーカー,トレンドの迷彩柄を取り入れたキャンバススニーカー。カジュアルながらも、落ち着いたアースカラーが大人っぽさを演出します。\n\n- キャンバス素材を使用し、通気性が良い。\n- 歩きやすいフラットソール。\n- デニムやチノパンなど、様々なボトムスと相性抜群。,メンズ > シューズ,https://next-apparel.com/images/m-shoes-002.png,12800,"25.0, 25.5, 26.0, 26.5, 27.0, 27.6"
m-shoes-003,都会派の足元を彩る　ネイビーブルー スリッポン,無駄を削ぎ落としたシンプルなデザインが魅力のネイビーブルー スリッポン。\n\n都会的な洗練された印象を与え、カジュアルからスマートカジュアルまで幅広いスタイルにマッチします。\n\n通気性の良い素材を使用し、快適な履き心地を実現。\n\nデイリーユースにぴったりの一足です。,メンズ > シューズ,https://next-apparel.com/images/m-shoes-003.png,12800,"25.0, 25.5, 26.0, 26.5, 27.0, 27.7"
m-shoes-004,"""永遠の定番スタイル！ ブラックキャンバスハイカットスニーカー""",どんなスタイルにも合わせやすい、定番人気のブラックキャンバスハイカットスニーカー。\nクラシックなデザインは、カジュアルからストリートまで幅広く活躍します。\n履き心地の良いキャンバス素材で、オールシーズン快適に着用いただけます。,メンズ > シューズ,https://next-apparel.com/images/m-shoes-004.png,12800,"25.0, 25.5, 26.0, 26.5, 27.0, 27.8"
m-shoes-005,大人の風格漂う、本革ダブルストラップサンダル,上質な本革を使用した、ダブルストラップのサンダル。\nカジュアルながらも上品な雰囲気で、大人の足元をスタイリッシュに演出します。\n\n足首と甲の2ヶ所で調節が可能なので、お好みのフィット感を実現。\n歩きやすさと快適さを兼ね備え、夏の足元を快適にサポートします。,メンズ > シューズ,https://next-apparel.com/images/m-shoes-005.png,12800,"25.0, 25.5, 26.0, 26.5, 27.0, 27.9"